Name,URL,Tier,Win Rate,Change,Pick Rate
Spectre,https://www.dotabuff.com/heroes/spectre,,50.57,8.46,0.62
Sand King,https://www.dotabuff.com/heroes/sand-king,,47.59,-11.57,9.13
Drow Ranger,https://www.dotabuff.com/heroes/drow-ranger,,50.00,-15.63,0.87
Lina,https://www.dotabuff.com/heroes/lina,,48.14,4.06,32.89
Puck,https://www.dotabuff.com/heroes/puck,,48.01,1.54,22.12
Keeper of the Light,https://www.dotabuff.com/heroes/keeper-of-the-light,,49.65,0.45,7.60
Riki,https://www.dotabuff.com/heroes/riki,,49.41,7.48,2.41
Wraith King,https://www.dotabuff.com/heroes/wraith-king,,48.30,9.41,0.52
Silencer,https://www.dotabuff.com/heroes/silencer,,48.69,-3.25,7.14
Doom,https://www.dotabuff.com/heroes/doom,,49.56,9.56,1.20
Invoker,https://www.dotabuff.com/heroes/invoker,,46.44,2.63,48.33
Tinker,https://www.dotabuff.com/heroes/tinker,,46.41,3.14,20.24
Lycan,https://www.dotabuff.com/heroes/lycan,,49.29,-3.21,3.25
Queen of Pain,https://www.dotabuff.com/heroes/queen-of-pain,,48.09,3.14,24.26
Viper,https://www.dotabuff.com/heroes/viper,,47.76,6.82,9.13
Sniper,https://www.dotabuff.com/heroes/sniper,,46.41,2.78,26.21
Ancient Apparition,https://www.dotabuff.com/heroes/ancient-apparition,,48.77,2.11,1.44
Witch Doctor,https://www.dotabuff.com/heroes/witch-doctor,,48.17,-1.83,4.72
Razor,https://www.dotabuff.com/heroes/razor,,48.01,-0.03,5.93
Dark Willow,https://www.dotabuff.com/heroes/dark-willow,,48.18,-11.28,1.26
Skywrath Mage,https://www.dotabuff.com/heroes/skywrath-mage,,47.92,8.50,3.14
Mars,https://www.dotabuff.com/heroes/mars,,47.72,-0.33,2.09
Dazzle,https://www.dotabuff.com/heroes/dazzle,,47.54,-4.87,3.38
Hoodwink,https://www.dotabuff.com/heroes/hoodwink,,47.30,14.43,2.29
Magnus,https://www.dotabuff.com/heroes/magnus,,47.04,1.86,7.27
Bristleback,https://www.dotabuff.com/heroes/bristleback,,47.01,8.30,0.89
Tidehunter,https://www.dotabuff.com/heroes/tidehunter,,47.62,-7.94,0.52
Dark Seer,https://www.dotabuff.com/heroes/dark-seer,,47.39,9.89,1.01
Pangolier,https://www.dotabuff.com/heroes/pangolier,,46.72,9.43,8.99
Venomancer,https://www.dotabuff.com/heroes/venomancer,,46.06,7.17,1.16
Medusa,https://www.dotabuff.com/heroes/medusa,,47.15,8.27,0.87
Slark,https://www.dotabuff.com/heroes/slark,,46.11,23.03,0.59
Underlord,https://www.dotabuff.com/heroes/underlord,,47.06,0.39,0.90
Timbersaw,https://www.dotabuff.com/heroes/timbersaw,,45.19,-1.21,10.59
Anti-Mage,https://www.dotabuff.com/heroes/anti-mage,,43.59,-4.69,0.83
Beastmaster,https://www.dotabuff.com/heroes/beastmaster,,46.64,-6.94,2.99
Batrider,https://www.dotabuff.com/heroes/batrider,,46.41,3.28,2.61
Enchantress,https://www.dotabuff.com/heroes/enchantress,,46.15,4.49,0.60
Kunkka,https://www.dotabuff.com/heroes/kunkka,,45.55,-1.11,5.59
Lion,https://www.dotabuff.com/heroes/lion,,45.21,-3.74,5.92
Centaur Warrunner,https://www.dotabuff.com/heroes/centaur-warrunner,,45.45,-17.51,0.66
Ogre Magi,https://www.dotabuff.com/heroes/ogre-magi,,45.16,1.41,4.44
Io,https://www.dotabuff.com/heroes/io,,44.30,2.20,1.36
Tusk,https://www.dotabuff.com/heroes/tusk,,45.04,-4.96,1.39
Grimstroke,https://www.dotabuff.com/heroes/grimstroke,,44.95,-5.05,0.38
Mirana,https://www.dotabuff.com/heroes/mirana,,44.52,1.39,1.96
Pugna,https://www.dotabuff.com/heroes/pugna,,44.42,4.42,3.32
Death Prophet,https://www.dotabuff.com/heroes/death-prophet,,43.65,-0.71,5.39
Snapfire,https://www.dotabuff.com/heroes/snapfire,,43.71,15.30,3.59
Muerta,https://www.dotabuff.com/heroes/muerta,,43.02,12.25,1.21
Jakiro,https://www.dotabuff.com/heroes/jakiro,,42.21,-1.06,4.19
Luna,https://www.dotabuff.com/heroes/luna,,41.60,-13.96,0.44
Nature's Prophet,https://www.dotabuff.com/heroes/natures-prophet,,40.11,17.61,1.30
Gyrocopter,https://www.dotabuff.com/heroes/gyrocopter,,39.86,-3.89,0.50
Morphling,https://www.dotabuff.com/heroes/morphling,,38.44,-1.56,1.31
Phantom Assassin,https://www.dotabuff.com/heroes/phantom-assassin,,37.75,2.75,0.72
Techies,https://www.dotabuff.com/heroes/techies,,37.46,9.12,2.05
Warlock,https://www.dotabuff.com/heroes/warlock,,35.88,-17.06,0.46
Omniknight,https://www.dotabuff.com/heroes/omniknight,,35.71,10.71,0.44
Name,URL,Tier,Win Rate,Change,Pick Rate
Shadow Fiend,https://www.dotabuff.com/heroes/shadow-fiend,S,52.81,2.72,107.08
Visage,https://www.dotabuff.com/heroes/visage,S,60.56,-0.60,7.87
Shadow Shaman,https://www.dotabuff.com/heroes/shadow-shaman,S,58.27,-2.60,0.45
Arc Warden,https://www.dotabuff.com/heroes/arc-warden,S,55.13,2.23,12.74
Night Stalker,https://www.dotabuff.com/heroes/night-stalker,S,56.95,2.50,2.92
Chaos Knight,https://www.dotabuff.com/heroes/chaos-knight,S,57.56,-7.66,0.61
Pudge,https://www.dotabuff.com/heroes/pudge,S,53.78,2.72,20.16
Broodmother,https://www.dotabuff.com/heroes/broodmother,S,54.17,-0.17,9.77
Winter Wyvern,https://www.dotabuff.com/heroes/winter-wyvern,S,55.98,3.45,4.39
Bane,https://www.dotabuff.com/heroes/bane,,55.60,-8.69,2.84
Outworld Destroyer,https://www.dotabuff.com/heroes/outworld-destroyer,,50.80,1.32,31.36
Lone Druid,https://www.dotabuff.com/heroes/lone-druid,,54.14,-5.07,7.67
Leshrac,https://www.dotabuff.com/heroes/leshrac,,53.21,0.01,27.60
Bounty Hunter,https://www.dotabuff.com/heroes/bounty-hunter,,54.91,-1.34,4.53
Axe,https://www.dotabuff.com/heroes/axe,,50.85,-9.53,2.29
Meepo,https://www.dotabuff.com/heroes/meepo,,50.77,1.71,9.14
Marci,https://www.dotabuff.com/heroes/marci,,54.73,5.30,2.46
Zeus,https://www.dotabuff.com/heroes/zeus,,50.02,-4.17,53.48
Storm Spirit,https://www.dotabuff.com/heroes/storm-spirit,,49.41,-1.50,69.40
Enigma,https://www.dotabuff.com/heroes/enigma,,54.87,4.87,0.40
Phoenix,https://www.dotabuff.com/heroes/phoenix,,53.65,-1.33,8.78
Templar Assassin,https://www.dotabuff.com/heroes/templar-assassin,,50.77,-0.95,28.76
Tiny,https://www.dotabuff.com/heroes/tiny,,51.86,-1.66,16.67
Ursa,https://www.dotabuff.com/heroes/ursa,,53.10,3.10,1.31
Clockwerk,https://www.dotabuff.com/heroes/clockwerk,,53.58,-10.31,1.03
Dragon Knight,https://www.dotabuff.com/heroes/dragon-knight,,51.67,-1.40,21.92
Ember Spirit,https://www.dotabuff.com/heroes/ember-spirit,,51.34,6.19,34.37
Bloodseeker,https://www.dotabuff.com/heroes/bloodseeker,,53.51,-0.66,1.46
Vengeful Spirit,https://www.dotabuff.com/heroes/vengeful-spirit,,53.00,9.92,4.53
Windranger,https://www.dotabuff.com/heroes/windranger,,51.66,-1.57,20.27
Brewmaster,https://www.dotabuff.com/heroes/brewmaster,,53.18,-5.64,0.61
Necrophos,https://www.dotabuff.com/heroes/necrophos,,50.66,-5.31,32.18
Faceless Void,https://www.dotabuff.com/heroes/faceless-void,,52.78,-3.47,0.76
Earth Spirit,https://www.dotabuff.com/heroes/earth-spirit,,52.87,-1.98,6.20
Void Spirit,https://www.dotabuff.com/heroes/void-spirit,,50.67,-2.15,36.66
Undying,https://www.dotabuff.com/heroes/undying,,53.04,-18.39,0.41
Earthshaker,https://www.dotabuff.com/heroes/earthshaker,,52.48,2.67,8.91
Monkey King,https://www.dotabuff.com/heroes/monkey-king,,52.01,1.26,6.93
Shadow Demon,https://www.dotabuff.com/heroes/shadow-demon,,52.41,-14.25,0.51
Alchemist,https://www.dotabuff.com/heroes/alchemist,,52.28,4.80,3.79
Spirit Breaker,https://www.dotabuff.com/heroes/spirit-breaker,,50.35,5.31,4.07
Legion Commander,https://www.dotabuff.com/heroes/legion-commander,,47.62,-2.38,4.75
Weaver,https://www.dotabuff.com/heroes/weaver,,51.23,-2.43,1.43
Oracle,https://www.dotabuff.com/heroes/oracle,,50.76,-0.67,1.62
Primal Beast,https://www.dotabuff.com/heroes/primal-beast,,51.02,6.85,6.57
Slardar,https://www.dotabuff.com/heroes/slardar,,50.53,-0.32,3.96
Huskar,https://www.dotabuff.com/heroes/huskar,,48.65,3.19,9.64
Dawnbreaker,https://www.dotabuff.com/heroes/dawnbreaker,,51.24,8.62,1.71
Clinkz,https://www.dotabuff.com/heroes/clinkz,,50.37,3.97,7.23
Rubick,https://www.dotabuff.com/heroes/rubick,,49.97,-1.03,12.10
Nyx Assassin,https://www.dotabuff.com/heroes/nyx-assassin,,48.54,-4.79,4.12
Spectre,https://www.dotabuff.com/heroes/spectre,,50.57,8.46,0.62
Sand King,https://www.dotabuff.com/heroes/sand-king,,47.59,-11.57,9.13
Drow Ranger,https://www.dotabuff.com/heroes/drow-ranger,,50.00,-15.63,0.87
Lina,https://www.dotabuff.com/heroes/lina,,48.14,4.06,32.89
Puck,https://www.dotabuff.com/heroes/puck,,48.01,1.54,22.12
Keeper of the Light,https://www.dotabuff.com/heroes/keeper-of-the-light,,49.65,0.45,7.60
Riki,https://www.dotabuff.com/heroes/riki,,49.41,7.48,2.41
Wraith King,https://www.dotabuff.com/heroes/wraith-king,,48.30,9.41,0.52
Silencer,https://www.dotabuff.com/heroes/silencer,,48.69,-3.25,7.14
Doom,https://www.dotabuff.com/heroes/doom,,49.56,9.56,1.20
Invoker,https://www.dotabuff.com/heroes/invoker,,46.44,2.63,48.33
Tinker,https://www.dotabuff.com/heroes/tinker,,46.41,3.14,20.24
Lycan,https://www.dotabuff.com/heroes/lycan,,49.29,-3.21,3.25
Queen of Pain,https://www.dotabuff.com/heroes/queen-of-pain,,48.09,3.14,24.26
Viper,https://www.dotabuff.com/heroes/viper,,47.76,6.82,9.13
Sniper,https://www.dotabuff.com/heroes/sniper,,46.41,2.78,26.21
Ancient Apparition,https://www.dotabuff.com/heroes/ancient-apparition,,48.77,2.11,1.44
Witch Doctor,https://www.dotabuff.com/heroes/witch-doctor,,48.17,-1.83,4.72
Razor,https://www.dotabuff.com/heroes/razor,,48.01,-0.03,5.93
Dark Willow,https://www.dotabuff.com/heroes/dark-willow,,48.18,-11.28,1.26
Skywrath Mage,https://www.dotabuff.com/heroes/skywrath-mage,,47.92,8.50,3.14
Mars,https://www.dotabuff.com/heroes/mars,,47.72,-0.33,2.09
Dazzle,https://www.dotabuff.com/heroes/dazzle,,47.54,-4.87,3.38
Hoodwink,https://www.dotabuff.com/heroes/hoodwink,,47.30,14.43,2.29
Magnus,https://www.dotabuff.com/heroes/magnus,,47.04,1.86,7.27
Bristleback,https://www.dotabuff.com/heroes/bristleback,,47.01,8.30,0.89
Tidehunter,https://www.dotabuff.com/heroes/tidehunter,,47.62,-7.94,0.52
Dark Seer,https://www.dotabuff.com/heroes/dark-seer,,47.39,9.89,1.01
Pangolier,https://www.dotabuff.com/heroes/pangolier,,46.72,9.43,8.99
Venomancer,https://www.dotabuff.com/heroes/venomancer,,46.06,7.17,1.16
Medusa,https://www.dotabuff.com/heroes/medusa,,47.15,8.27,0.87
Slark,https://www.dotabuff.com/heroes/slark,,46.11,23.03,0.59
Underlord,https://www.dotabuff.com/heroes/underlord,,47.06,0.39,0.90
Timbersaw,https://www.dotabuff.com/heroes/timbersaw,,45.19,-1.21,10.59
Anti-Mage,https://www.dotabuff.com/heroes/anti-mage,,43.59,-4.69,0.83
Beastmaster,https://www.dotabuff.com/heroes/beastmaster,,46.64,-6.94,2.99
Batrider,https://www.dotabuff.com/heroes/batrider,,46.41,3.28,2.61
Enchantress,https://www.dotabuff.com/heroes/enchantress,,46.15,4.49,0.60
Kunkka,https://www.dotabuff.com/heroes/kunkka,,45.55,-1.11,5.59
Lion,https://www.dotabuff.com/heroes/lion,,45.21,-3.74,5.92
Centaur Warrunner,https://www.dotabuff.com/heroes/centaur-warrunner,,45.45,-17.51,0.66
Ogre Magi,https://www.dotabuff.com/heroes/ogre-magi,,45.16,1.41,4.44
Io,https://www.dotabuff.com/heroes/io,,44.30,2.20,1.36
Tusk,https://www.dotabuff.com/heroes/tusk,,45.04,-4.96,1.39
Grimstroke,https://www.dotabuff.com/heroes/grimstroke,,44.95,-5.05,0.38
Mirana,https://www.dotabuff.com/heroes/mirana,,44.52,1.39,1.96
Pugna,https://www.dotabuff.com/heroes/pugna,,44.42,4.42,3.32
Death Prophet,https://www.dotabuff.com/heroes/death-prophet,,43.65,-0.71,5.39
Snapfire,https://www.dotabuff.com/heroes/snapfire,,43.71,15.30,3.59
Muerta,https://www.dotabuff.com/heroes/muerta,,43.02,12.25,1.21
Jakiro,https://www.dotabuff.com/heroes/jakiro,,42.21,-1.06,4.19
Luna,https://www.dotabuff.com/heroes/luna,,41.60,-13.96,0.44
Nature's Prophet,https://www.dotabuff.com/heroes/natures-prophet,,40.11,17.61,1.30
Gyrocopter,https://www.dotabuff.com/heroes/gyrocopter,,39.86,-3.89,0.50
Morphling,https://www.dotabuff.com/heroes/morphling,,38.44,-1.56,1.31
Phantom Assassin,https://www.dotabuff.com/heroes/phantom-assassin,,37.75,2.75,0.72
Techies,https://www.dotabuff.com/heroes/techies,,37.46,9.12,2.05
Warlock,https://www.dotabuff.com/heroes/warlock,,35.88,-17.06,0.46
Omniknight,https://www.dotabuff.com/heroes/omniknight,,35.71,10.71,0.44
Name,URL,Tier,Win Rate,Change,Pick Rate
Shadow Fiend,https://www.dotabuff.com/heroes/shadow-fiend,S,52.81,2.72,107.08
Visage,https://www.dotabuff.com/heroes/visage,S,60.56,-0.60,7.87
Shadow Shaman,https://www.dotabuff.com/heroes/shadow-shaman,S,58.27,-2.60,0.45
Arc Warden,https://www.dotabuff.com/heroes/arc-warden,S,55.13,2.23,12.74
Night Stalker,https://www.dotabuff.com/heroes/night-stalker,S,56.95,2.50,2.92
Chaos Knight,https://www.dotabuff.com/heroes/chaos-knight,S,57.56,-7.66,0.61
Pudge,https://www.dotabuff.com/heroes/pudge,S,53.78,2.72,20.16
Broodmother,https://www.dotabuff.com/heroes/broodmother,S,54.17,-0.17,9.77
Winter Wyvern,https://www.dotabuff.com/heroes/winter-wyvern,S,55.98,3.45,4.39
Bane,https://www.dotabuff.com/heroes/bane,,55.60,-8.69,2.84
Outworld Destroyer,https://www.dotabuff.com/heroes/outworld-destroyer,,50.80,1.32,31.36
Lone Druid,https://www.dotabuff.com/heroes/lone-druid,,54.14,-5.07,7.67
Leshrac,https://www.dotabuff.com/heroes/leshrac,,53.21,0.01,27.60
Bounty Hunter,https://www.dotabuff.com/heroes/bounty-hunter,,54.91,-1.34,4.53
Axe,https://www.dotabuff.com/heroes/axe,,50.85,-9.53,2.29
Meepo,https://www.dotabuff.com/heroes/meepo,,50.77,1.71,9.14
Marci,https://www.dotabuff.com/heroes/marci,,54.73,5.30,2.46
Zeus,https://www.dotabuff.com/heroes/zeus,,50.02,-4.17,53.48
Storm Spirit,https://www.dotabuff.com/heroes/storm-spirit,,49.41,-1.50,69.40
Enigma,https://www.dotabuff.com/heroes/enigma,,54.87,4.87,0.40
Phoenix,https://www.dotabuff.com/heroes/phoenix,,53.65,-1.33,8.78
Templar Assassin,https://www.dotabuff.com/heroes/templar-assassin,,50.77,-0.95,28.76
Tiny,https://www.dotabuff.com/heroes/tiny,,51.86,-1.66,16.67
Ursa,https://www.dotabuff.com/heroes/ursa,,53.10,3.10,1.31
Clockwerk,https://www.dotabuff.com/heroes/clockwerk,,53.58,-10.31,1.03
Dragon Knight,https://www.dotabuff.com/heroes/dragon-knight,,51.67,-1.40,21.92
Ember Spirit,https://www.dotabuff.com/heroes/ember-spirit,,51.34,6.19,34.37
Bloodseeker,https://www.dotabuff.com/heroes/bloodseeker,,53.51,-0.66,1.46
Vengeful Spirit,https://www.dotabuff.com/heroes/vengeful-spirit,,53.00,9.92,4.53
Windranger,https://www.dotabuff.com/heroes/windranger,,51.66,-1.57,20.27
Brewmaster,https://www.dotabuff.com/heroes/brewmaster,,53.18,-5.64,0.61
Necrophos,https://www.dotabuff.com/heroes/necrophos,,50.66,-5.31,32.18
Faceless Void,https://www.dotabuff.com/heroes/faceless-void,,52.78,-3.47,0.76
Earth Spirit,https://www.dotabuff.com/heroes/earth-spirit,,52.87,-1.98,6.20
Void Spirit,https://www.dotabuff.com/heroes/void-spirit,,50.67,-2.15,36.66
Undying,https://www.dotabuff.com/heroes/undying,,53.04,-18.39,0.41
Earthshaker,https://www.dotabuff.com/heroes/earthshaker,,52.48,2.67,8.91
Monkey King,https://www.dotabuff.com/heroes/monkey-king,,52.01,1.26,6.93
Shadow Demon,https://www.dotabuff.com/heroes/shadow-demon,,52.41,-14.25,0.51
Alchemist,https://www.dotabuff.com/heroes/alchemist,,52.28,4.80,3.79
Spirit Breaker,https://www.dotabuff.com/heroes/spirit-breaker,,50.35,5.31,4.07
Legion Commander,https://www.dotabuff.com/heroes/legion-commander,,47.62,-2.38,4.75
Weaver,https://www.dotabuff.com/heroes/weaver,,51.23,-2.43,1.43
Oracle,https://www.dotabuff.com/heroes/oracle,,50.76,-0.67,1.62
Primal Beast,https://www.dotabuff.com/heroes/primal-beast,,51.02,6.85,6.57
Slardar,https://www.dotabuff.com/heroes/slardar,,50.53,-0.32,3.96
Huskar,https://www.dotabuff.com/heroes/huskar,,48.65,3.19,9.64
Dawnbreaker,https://www.dotabuff.com/heroes/dawnbreaker,,51.24,8.62,1.71
Clinkz,https://www.dotabuff.com/heroes/clinkz,,50.37,3.97,7.23
Rubick,https://www.dotabuff.com/heroes/rubick,,49.97,-1.03,12.10
Nyx Assassin,https://www.dotabuff.com/heroes/nyx-assassin,,48.54,-4.79,4.12
Spectre,https://www.dotabuff.com/heroes/spectre,,50.57,8.46,0.62
Sand King,https://www.dotabuff.com/heroes/sand-king,,47.59,-11.57,9.13
Drow Ranger,https://www.dotabuff.com/heroes/drow-ranger,,50.00,-15.63,0.87
Lina,https://www.dotabuff.com/heroes/lina,,48.14,4.06,32.89
Puck,https://www.dotabuff.com/heroes/puck,,48.01,1.54,22.12
Keeper of the Light,https://www.dotabuff.com/heroes/keeper-of-the-light,,49.65,0.45,7.60
Riki,https://www.dotabuff.com/heroes/riki,,49.41,7.48,2.41
Wraith King,https://www.dotabuff.com/heroes/wraith-king,,48.30,9.41,0.52
Silencer,https://www.dotabuff.com/heroes/silencer,,48.69,-3.25,7.14
Doom,https://www.dotabuff.com/heroes/doom,,49.56,9.56,1.20
Invoker,https://www.dotabuff.com/heroes/invoker,,46.44,2.63,48.33
Tinker,https://www.dotabuff.com/heroes/tinker,,46.41,3.14,20.24
Lycan,https://www.dotabuff.com/heroes/lycan,,49.29,-3.21,3.25
Queen of Pain,https://www.dotabuff.com/heroes/queen-of-pain,,48.09,3.14,24.26
Viper,https://www.dotabuff.com/heroes/viper,,47.76,6.82,9.13
Sniper,https://www.dotabuff.com/heroes/sniper,,46.41,2.78,26.21
Ancient Apparition,https://www.dotabuff.com/heroes/ancient-apparition,,48.77,2.11,1.44
Witch Doctor,https://www.dotabuff.com/heroes/witch-doctor,,48.17,-1.83,4.72
Razor,https://www.dotabuff.com/heroes/razor,,48.01,-0.03,5.93
Dark Willow,https://www.dotabuff.com/heroes/dark-willow,,48.18,-11.28,1.26
Skywrath Mage,https://www.dotabuff.com/heroes/skywrath-mage,,47.92,8.50,3.14
Mars,https://www.dotabuff.com/heroes/mars,,47.72,-0.33,2.09
Dazzle,https://www.dotabuff.com/heroes/dazzle,,47.54,-4.87,3.38
Hoodwink,https://www.dotabuff.com/heroes/hoodwink,,47.30,14.43,2.29
Magnus,https://www.dotabuff.com/heroes/magnus,,47.04,1.86,7.27
Bristleback,https://www.dotabuff.com/heroes/bristleback,,47.01,8.30,0.89
Tidehunter,https://www.dotabuff.com/heroes/tidehunter,,47.62,-7.94,0.52
Dark Seer,https://www.dotabuff.com/heroes/dark-seer,,47.39,9.89,1.01
Pangolier,https://www.dotabuff.com/heroes/pangolier,,46.72,9.43,8.99
Venomancer,https://www.dotabuff.com/heroes/venomancer,,46.06,7.17,1.16
Medusa,https://www.dotabuff.com/heroes/medusa,,47.15,8.27,0.87
Slark,https://www.dotabuff.com/heroes/slark,,46.11,23.03,0.59
Underlord,https://www.dotabuff.com/heroes/underlord,,47.06,0.39,0.90
Timbersaw,https://www.dotabuff.com/heroes/timbersaw,,45.19,-1.21,10.59
Anti-Mage,https://www.dotabuff.com/heroes/anti-mage,,43.59,-4.69,0.83
Beastmaster,https://www.dotabuff.com/heroes/beastmaster,,46.64,-6.94,2.99
Batrider,https://www.dotabuff.com/heroes/batrider,,46.41,3.28,2.61
Enchantress,https://www.dotabuff.com/heroes/enchantress,,46.15,4.49,0.60
Kunkka,https://www.dotabuff.com/heroes/kunkka,,45.55,-1.11,5.59
Lion,https://www.dotabuff.com/heroes/lion,,45.21,-3.74,5.92
Centaur Warrunner,https://www.dotabuff.com/heroes/centaur-warrunner,,45.45,-17.51,0.66
Ogre Magi,https://www.dotabuff.com/heroes/ogre-magi,,45.16,1.41,4.44
Io,https://www.dotabuff.com/heroes/io,,44.30,2.20,1.36
Tusk,https://www.dotabuff.com/heroes/tusk,,45.04,-4.96,1.39
Grimstroke,https://www.dotabuff.com/heroes/grimstroke,,44.95,-5.05,0.38
Mirana,https://www.dotabuff.com/heroes/mirana,,44.52,1.39,1.96
Pugna,https://www.dotabuff.com/heroes/pugna,,44.42,4.42,3.32
Death Prophet,https://www.dotabuff.com/heroes/death-prophet,,43.65,-0.71,5.39
Snapfire,https://www.dotabuff.com/heroes/snapfire,,43.71,15.30,3.59
Muerta,https://www.dotabuff.com/heroes/muerta,,43.02,12.25,1.21
Jakiro,https://www.dotabuff.com/heroes/jakiro,,42.21,-1.06,4.19
Luna,https://www.dotabuff.com/heroes/luna,,41.60,-13.96,0.44
Nature's Prophet,https://www.dotabuff.com/heroes/natures-prophet,,40.11,17.61,1.30
Gyrocopter,https://www.dotabuff.com/heroes/gyrocopter,,39.86,-3.89,0.50
Morphling,https://www.dotabuff.com/heroes/morphling,,38.44,-1.56,1.31
Phantom Assassin,https://www.dotabuff.com/heroes/phantom-assassin,,37.75,2.75,0.72
Techies,https://www.dotabuff.com/heroes/techies,,37.46,9.12,2.05
Warlock,https://www.dotabuff.com/heroes/warlock,,35.88,-17.06,0.46
Omniknight,https://www.dotabuff.com/heroes/omniknight,,35.71,10.71,0.44
