Name,URL,Tier,Win Rate,Change,Pick Rate
Lycan,https://www.dotabuff.com/heroes/lycan,,49.02,2.64,3.00
Slark,https://www.dotabuff.com/heroes/slark,,47.61,1.86,9.46
Faceless Void,https://www.dotabuff.com/heroes/faceless-void,,48.02,0.63,9.16
Bane,https://www.dotabuff.com/heroes/bane,,48.87,-0.10,3.34
Huskar,https://www.dotabuff.com/heroes/huskar,,47.62,2.23,3.84
Phantom Assassin,https://www.dotabuff.com/heroes/phantom-assassin,,47.17,1.57,12.66
Dazzle,https://www.dotabuff.com/heroes/dazzle,,48.11,0.08,8.68
Grimstroke,https://www.dotabuff.com/heroes/grimstroke,,48.58,-0.55,5.70
Sand King,https://www.dotabuff.com/heroes/sand-king,,47.07,-9.82,10.01
Naga Siren,https://www.dotabuff.com/heroes/naga-siren,,48.60,-0.37,1.59
Razor,https://www.dotabuff.com/heroes/razor,,48.06,0.70,6.19
Timbersaw,https://www.dotabuff.com/heroes/timbersaw,,47.52,1.20,7.41
Luna,https://www.dotabuff.com/heroes/luna,,48.12,0.75,6.34
Bloodseeker,https://www.dotabuff.com/heroes/bloodseeker,,48.45,1.15,3.11
Viper,https://www.dotabuff.com/heroes/viper,,47.00,1.00,6.51
Tidehunter,https://www.dotabuff.com/heroes/tidehunter,,48.18,2.44,5.22
Bristleback,https://www.dotabuff.com/heroes/bristleback,,46.72,2.18,6.23
Lina,https://www.dotabuff.com/heroes/lina,,46.80,1.69,9.67
Tinker,https://www.dotabuff.com/heroes/tinker,,45.87,0.90,4.18
Mars,https://www.dotabuff.com/heroes/mars,,46.99,1.89,6.49
Shadow Demon,https://www.dotabuff.com/heroes/shadow-demon,,47.37,0.14,2.95
Queen of Pain,https://www.dotabuff.com/heroes/queen-of-pain,,46.96,0.90,6.88
Spectre,https://www.dotabuff.com/heroes/spectre,,46.69,0.08,5.78
Omniknight,https://www.dotabuff.com/heroes/omniknight,,46.90,1.51,2.33
Pugna,https://www.dotabuff.com/heroes/pugna,,46.86,0.20,4.46
Doom,https://www.dotabuff.com/heroes/doom,,46.83,1.90,3.89
Gyrocopter,https://www.dotabuff.com/heroes/gyrocopter,,46.80,0.67,5.40
Invoker,https://www.dotabuff.com/heroes/invoker,,45.37,1.45,12.84
Sven,https://www.dotabuff.com/heroes/sven,,46.81,1.71,3.45
Monkey King,https://www.dotabuff.com/heroes/monkey-king,,46.13,0.92,7.99
Puck,https://www.dotabuff.com/heroes/puck,,46.27,1.44,3.96
Earth Spirit,https://www.dotabuff.com/heroes/earth-spirit,,46.80,0.37,2.90
Snapfire,https://www.dotabuff.com/heroes/snapfire,,46.35,1.45,5.21
Techies,https://www.dotabuff.com/heroes/techies,,45.33,1.05,8.77
Muerta,https://www.dotabuff.com/heroes/muerta,,46.14,-0.39,2.92
Mirana,https://www.dotabuff.com/heroes/mirana,,45.93,0.19,5.30
Death Prophet,https://www.dotabuff.com/heroes/death-prophet,,46.06,1.72,3.00
Keeper of the Light,https://www.dotabuff.com/heroes/keeper-of-the-light,,46.02,0.81,2.92
Enchantress,https://www.dotabuff.com/heroes/enchantress,,45.45,0.19,3.42
Beastmaster,https://www.dotabuff.com/heroes/beastmaster,,45.52,2.18,2.76
Kunkka,https://www.dotabuff.com/heroes/kunkka,,44.88,0.72,3.64
Magnus,https://www.dotabuff.com/heroes/magnus,,44.11,1.74,6.55
Pangolier,https://www.dotabuff.com/heroes/pangolier,,44.36,4.68,2.25
Nature's Prophet,https://www.dotabuff.com/heroes/natures-prophet,,43.34,1.03,6.62
Tusk,https://www.dotabuff.com/heroes/tusk,,43.84,2.83,3.72
Chen,https://www.dotabuff.com/heroes/chen,,43.74,1.20,0.62
Terrorblade,https://www.dotabuff.com/heroes/terrorblade,,43.37,-0.04,2.76
Morphling,https://www.dotabuff.com/heroes/morphling,,42.29,1.07,3.28
Batrider,https://www.dotabuff.com/heroes/batrider,,42.20,1.09,1.66
