Name,URL,Tier,Win Rate,Change,Pick Rate
Dazzle,https://www.dotabuff.com/heroes/dazzle,,47.59,-4.83,3.38
Magnus,https://www.dotabuff.com/heroes/magnus,,47.15,1.98,7.28
Skywrath Mage,https://www.dotabuff.com/heroes/skywrath-mage,,47.74,8.32,3.14
Hoodwink,https://www.dotabuff.com/heroes/hoodwink,,47.30,14.43,2.30
Dark Seer,https://www.dotabuff.com/heroes/dark-seer,,47.72,10.22,1.01
Tidehunter,https://www.dotabuff.com/heroes/tidehunter,,47.62,-7.94,0.52
Medusa,https://www.dotabuff.com/heroes/medusa,,47.35,8.46,0.87
Bristleback,https://www.dotabuff.com/heroes/bristleback,,46.80,8.09,0.89
Pangolier,https://www.dotabuff.com/heroes/pangolier,,46.70,9.40,8.97
Anti-Mage,https://www.dotabuff.com/heroes/anti-mage,,43.78,-4.50,0.83
Venomancer,https://www.dotabuff.com/heroes/venomancer,,45.90,7.01,1.17
Slark,https://www.dotabuff.com/heroes/slark,,46.11,23.03,0.59
Timbersaw,https://www.dotabuff.com/heroes/timbersaw,,45.21,-1.19,10.59
Underlord,https://www.dotabuff.com/heroes/underlord,,46.85,0.18,0.90
Beastmaster,https://www.dotabuff.com/heroes/beastmaster,,46.44,-7.13,2.98
Batrider,https://www.dotabuff.com/heroes/batrider,,46.40,3.27,2.61
Enchantress,https://www.dotabuff.com/heroes/enchantress,,46.15,4.49,0.60
Lion,https://www.dotabuff.com/heroes/lion,,45.32,-3.62,5.91
Kunkka,https://www.dotabuff.com/heroes/kunkka,,45.49,-1.17,5.59
Centaur Warrunner,https://www.dotabuff.com/heroes/centaur-warrunner,,45.16,-17.80,0.66
Grimstroke,https://www.dotabuff.com/heroes/grimstroke,,45.37,-4.63,0.38
Ogre Magi,https://www.dotabuff.com/heroes/ogre-magi,,45.13,1.38,4.44
Tusk,https://www.dotabuff.com/heroes/tusk,,45.15,-4.85,1.39
Io,https://www.dotabuff.com/heroes/io,,44.01,1.91,1.36
Mirana,https://www.dotabuff.com/heroes/mirana,,44.68,1.55,1.97
Pugna,https://www.dotabuff.com/heroes/pugna,,44.40,4.40,3.32
Snapfire,https://www.dotabuff.com/heroes/snapfire,,43.77,15.37,3.59
Death Prophet,https://www.dotabuff.com/heroes/death-prophet,,43.64,-0.72,5.41
Muerta,https://www.dotabuff.com/heroes/muerta,,43.15,12.38,1.22
Jakiro,https://www.dotabuff.com/heroes/jakiro,,42.23,-1.03,4.20
Luna,https://www.dotabuff.com/heroes/luna,,41.60,-13.96,0.44
Nature's Prophet,https://www.dotabuff.com/heroes/natures-prophet,,40.05,17.55,1.30
Gyrocopter,https://www.dotabuff.com/heroes/gyrocopter,,39.86,-3.89,0.51
Morphling,https://www.dotabuff.com/heroes/morphling,,38.38,-1.62,1.31
Phantom Assassin,https://www.dotabuff.com/heroes/phantom-assassin,,37.75,2.75,0.72
Techies,https://www.dotabuff.com/heroes/techies,,37.35,9.02,2.06
Warlock,https://www.dotabuff.com/heroes/warlock,,35.88,-17.06,0.46
Omniknight,https://www.dotabuff.com/heroes/omniknight,,35.71,10.71,0.45
